time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.007465,-0.129639,0.279076,-0.573218
0.027485,-0.329737,0.132585,-1.113609
0.062458,-0.144501,0.100161,0.679674
0.097492,-0.059546,-0.072723,0.305790
0.132465,-0.368985,0.085677,0.634621
0.162494,-0.398199,0.097886,-0.100594
0.197529,-0.304266,0.030907,-0.056085
0.232502,-0.154753,0.039889,-0.453420
0.262501,0.036599,-0.040562,0.047748
0.297535,0.090450,-0.113169,0.065551
0.332538,-0.217409,-0.053789,0.219747
0.362537,-0.393749,0.016930,0.108812
0.397571,-0.315031,0.004839,-0.000455
0.432545,-0.222144,0.015335,-0.487474
0.462543,0.018828,-0.038059,-0.058811
0.497577,-0.020154,-0.009831,-0.275289
0.532581,-0.079390,-0.029729,0.272039
0.562580,-0.360112,0.030092,0.197230
0.597614,-0.367971,0.010673,0.143508
0.632587,-0.274671,0.111058,-0.339712
0.662617,-0.003820,-0.050466,-0.419376
0.697651,-0.092141,-0.039861,-0.464131
0.732624,0.024274,-0.034692,0.183419
0.762623,-0.288383,0.079474,0.220763
0.797657,-0.294488,-0.048068,0.211193
0.832630,-0.330577,0.078035,-0.031180
0.862659,-0.169352,-0.010778,-0.413154
0.897693,-0.137358,-0.031029,-0.509500
0.932667,0.057355,-0.134453,0.165472
0.962665,-0.198926,-0.059884,0.210828
0.997697,-0.311064,-0.004209,0.118114
1.032700,-0.292053,0.005184,-0.005583
1.062699,-0.215536,-0.003121,-0.648429
1.097733,-0.160486,0.058725,-0.567629
1.132706,0.029636,-0.068014,-0.116725
1.162705,-0.042092,-0.030315,0.210113
1.197739,-0.470966,-0.087289,1.042243
1.232743,-0.392900,0.189521,-0.634943
1.262742,-0.215828,0.233923,-0.536027
1.297776,-0.335370,-0.051457,-1.186481
1.332749,-0.023670,-0.122102,0.109315
1.362778,-0.037738,-0.154428,1.142692
1.397782,0.324516,0.062131,1.031400
1.432786,0.089954,0.163809,0.560864
1.462784,-0.311528,0.316466,-1.190715
1.497819,0.315301,-0.386121,0.463139
1.532792,-0.386788,-0.521121,-0.676030
1.562821,0.020569,-0.335028,1.303171
1.597855,0.185733,-0.247477,0.544825
1.632828,0.135797,0.007892,0.765784
1.662827,-0.599634,0.080788,-0.812647
1.697861,-0.668229,0.059982,-0.378035
1.732865,-0.279043,-0.102730,0.410955
1.762864,0.227470,-0.011934,-0.323044
1.797898,0.139812,-0.085573,0.407217
