time_tick,lac_X_value,lac_Y_value,lac_Z_value
-0.008022,-0.059657,0.155030,0.541144
0.019621,0.096642,-0.097470,-0.228565
0.058286,0.062226,-0.016885,-0.359940
0.091460,0.271461,-0.125167,-0.564691
0.119077,-0.020768,0.034510,0.100776
0.163281,0.023167,-0.026654,-0.097730
0.196410,-0.002987,-0.055509,-0.077411
0.224059,-0.100188,0.027389,0.351774
0.257182,-0.131023,0.061957,-0.013262
0.295866,-0.067226,0.099144,-0.012709
0.323485,0.047711,-0.039778,-0.280050
0.356657,0.015002,-0.053383,-0.103494
0.395308,-0.017449,-0.034358,-0.067281
0.428453,-0.178712,0.016952,0.294627
0.456089,-0.102430,0.115021,0.000590
0.494776,-0.135519,0.150129,0.020612
0.522383,0.011413,-0.118717,-0.431674
0.555540,-0.007950,0.009624,-0.093645
0.594205,0.048182,-0.040161,-0.067976
0.621840,-0.220302,-0.033072,0.326782
0.654976,-0.134547,0.058018,0.094840
0.693679,-0.171583,0.200973,0.183551
0.726804,0.128076,-0.159341,-0.356089
0.754427,0.012027,-0.000178,-0.136786
0.782057,-0.229876,-0.026403,0.366028
0.826278,-0.229573,0.012959,0.326500
0.859420,-0.149122,-0.037275,0.265326
0.881514,0.119460,-0.068129,-0.364028
0.925734,0.069901,-0.160166,-0.324330
0.953336,0.012586,-0.057980,-0.257343
0.986495,-0.110972,-0.050137,-0.089178
1.025161,-0.073514,-0.002430,-0.092098
1.063857,0.040458,-0.001697,-0.162263
1.096999,-0.173170,-0.059578,0.321857
1.124617,-0.120869,0.142357,0.103110
1.157777,0.078305,-0.256377,-0.396298
1.196458,0.321959,-0.100266,-0.445963
1.224074,0.147198,0.059739,-0.187791
1.257216,-0.130302,-0.013770,0.158610
1.295886,-0.068509,0.050040,0.102458
1.323531,-0.203014,0.111792,0.304530
1.356673,0.137634,-0.165541,-0.391079
1.395353,-0.198756,-0.195040,-0.468387
1.422988,0.188758,0.001307,-0.066997
1.450592,-0.153844,0.073278,0.205147
1.494796,-0.723768,0.016769,0.414689
1.522424,-0.041720,0.133162,-0.065606
1.550063,0.050526,-0.082460,-0.345854
1.594266,0.056128,0.104810,-0.193102
1.621870,0.449038,-0.151240,-0.173988
1.649520,-0.268097,0.054690,0.407866
1.693723,0.209887,-0.069799,-0.056245
1.726845,-0.142486,0.006325,0.227897
1.754470,0.090694,0.067878,-0.042161
1.787642,0.117367,-0.048066,-0.438302
1.826322,0.160318,-0.156281,-0.330998
1.853925,0.099901,-0.019283,-0.066569
1.887099,-0.009489,0.002677,0.283284
1.925748,-0.016305,0.103213,0.182090
1.964431,0.006381,0.047885,0.238922
1.997586,0.048169,0.080077,-0.068132
2.025200,0.082597,-0.048324,-0.415639
2.052840,0.047518,-0.038027,0.041780
2.097029,0.037295,-0.097827,-0.073697
