time,lt,rt,rb,x,y,z
1541856096878,0,0,0,-0.4381426,-0.0711236,0.12695646
1541856096896,0,0,0,-0.38762218,0.020904064,0.19391346
1541856096917,0,0,0,-0.035339892,0.26304674,0.14079905
1541856096942,0,0,0,0.01814133,0.12849808,6.0224533E-4
1541856096959,0,0,0,-0.104836226,0.045344353,-0.20393848
1541856096977,0,0,0,-0.19954354,0.023664951,-0.13152504
1541856096997,0,0,0,-0.2066825,-0.05518627,0.06472492
1541856097016,0,0,0,-0.0152673125,-0.12472105,0.22066021
1541856097035,0,0,0,0.26166,0.028874397,0.14055109
1541856097058,0,0,0,0.12503552,0.09693813,0.18817806
1541856097076,0,0,0,0.01690185,-0.09528208,0.13663054
1541856097107,0,0,0,0.18163028,-0.06218052,0.35043478
1541856097115,0,0,0,0.113936216,-0.06781387,0.19651365
1541856097141,0,0,0,0.12174451,-0.06486082,0.096031666
1541856097156,0,0,0,0.108284324,-0.025587082,0.13604736
1541856097176,0,0,0,0.1262573,0.12850761,0.110795975
1541856097208,0,0,0,-0.093045175,-0.1637783,0.16432047
1541856097215,0,0,0,0.018375337,-0.035531998,0.16947699
1541856097241,0,0,0,0.080430984,-0.10842705,-0.2256937
1541856097256,0,0,0,0.098692685,0.024005413,-0.36450386
1541856097293,0,0,0,0.012296855,-0.05231476,-0.36855125
1541856097298,0,0,0,-2.7149916E-4,0.033753395,-0.058631897
1541856097325,0,0,0,0.11456242,0.024642944,-0.077578545
1541856097335,0,0,0,-0.020662487,-0.01624012,-0.14371347
1541856097358,0,0,0,-1.1106268,0.082111835,1.6245108
1541856097389,0,0,0,-0.08143216,0.39811945,-0.5158043
1541856097407,0,0,0,1.1270103,0.31506824,-2.0392213
1541856097416,0,0,0,0.41743216,-0.13057327,-0.044597626
1541856097436,0,0,0,-0.8974622,-0.04309559,1.717288
1541856097457,0,0,0,-1.7726884,0.316051,1.2339816
1541856097480,0,0,0,-1.0717359,-0.03926277,-1.1971722
1541856097497,0,0,0,0.090483844,-0.44264746,-1.7712798
1541856097517,0,0,0,0.7568207,-0.5170202,-0.7074537
1541856097540,0,0,0,0.3524312,-1.4982615,0.5884013
1541856097558,0,0,0,0.36615118,-0.39207554,1.269525
1541856097579,0,0,0,-0.72994566,-0.7518678,1.3999162
1541856097601,0,0,0,-0.7919989,-0.96683455,1.091783
1541856097619,0,0,0,-0.8314242,-0.3024192,0.108204365
1541856097647,0,0,0,-1.0585737,0.5746794,-1.6824551
1541856097673,0,0,0,-0.24588254,1.3816824,-3.124308
1541856097679,0,0,0,0.9703599,0.8454466,-1.8489637
1541856097698,0,0,0,1.8040292,0.26734066,-0.5791402
1541856097717,0,0,0,1.1786275,-0.56917334,1.2204137
1541856097735,0,0,0,-0.3973314,-0.16234207,2.4157352
1541856097756,0,0,0,-0.036291864,0.33707857,0.42200994
1541856097776,0,0,0,-0.5785591,-0.31818628,-1.8743911
1541856097799,0,0,0,-0.96494186,-0.47062254,-1.7526603
1541856097818,0,0,0,1.8055136,1.3777981,-0.2732811
1541856097839,0,0,0,1.2427238,0.51479244,0.86968136
1541856097859,0,0,0,-0.1296243,-0.31514406,0.63597727
1541856097884,0,0,0,-0.7877868,-0.22071505,0.5999961
1541856097903,0,0,0,-0.10515389,-0.3800373,0.40061617
1541856097918,0,0,0,1.2739786,-0.9377909,-0.39194632
1541856097938,0,0,0,1.8384669,0.43976974,1.1175337
1541856097959,0,0,0,-1.2336106,0.17181778,1.0311279
1541856097986,0,0,0,-1.5063134,0.08442831,0.88057995
1541856098008,0,0,0,-0.45790774,0.075443745,0.11171198
1541856098020,0,0,0,-0.50750613,0.106752396,-0.3251052
1541856098041,0,0,0,-0.11469102,0.04672575,-0.71646404
1541856098059,0,0,0,-1.44690275E-5,0.09984255,-0.3528266
1541856098084,0,0,0,-0.051423237,0.048441887,0.10823679
1541856098098,0,0,0,0.09388772,-0.15583897,0.19458437
1541856098121,0,0,0,0.48141098,0.12617254,-0.35700703
1541856098139,0,0,0,0.6682974,0.29289865,-0.46301842
1541856098157,0,0,0,0.32194307,0.13018703,0.07256317
1541856098178,0,0,0,-0.08263701,0.23527384,-0.18522263
1541856098200,0,0,0,-0.21803229,0.2291913,-0.20045853
1541856098216,0,0,0,-0.16473618,0.09427214,-0.082746506
1541856098237,0,0,0,0.034606576,-0.18617725,0.28687525
1541856098259,0,0,0,0.054777563,-0.24647045,0.059150696
1541856098284,0,0,0,0.1336627,-0.21345854,-0.033885956
1541856098306,0,0,0,-0.23237115,-0.15228987,-0.59658957
1541856098323,0,0,0,-0.5649866,-0.0787673,-0.5310445
1541856098339,0,0,0,1.3751061,-0.07404089,0.08266306
1541856098361,0,0,0,0.3230428,-0.5270519,1.1754918
1541856098381,0,0,0,-0.9694932,0.039675713,-0.6177535
1541856098401,0,0,0,-0.3222571,0.9003477,-1.6247926
1541856098421,0,0,0,0.5483097,0.1519823,-0.67314863
1541856098440,0,0,0,0.8483509,0.1619668,0.1645112
1541856098458,0,0,0,0.44745666,0.010540009,0.7547054
1541856098479,0,0,0,0.63438267,-0.25193882,0.5219903
1541856098500,0,0,0,0.13962024,-0.083918095,0.12926531
1541856098518,0,0,0,-0.52678406,-0.06708288,0.19303656
1541856098540,0,0,0,-0.49354643,0.08944893,0.0063934326
1541856098562,0,0,0,-0.030643642,0.07522583,0.2679901
1541856098595,0,0,0,0.09302658,0.073297024,0.7333307
1541856098609,0,0,0,0.062631726,0.23133945,0.7478142
1541856098618,0,0,0,0.029497445,0.14784479,-0.24444008
1541856098638,0,0,0,-0.2558117,0.11407471,-0.9464874
1541856098657,0,0,0,-0.2439102,-0.0671854,-0.93837214
1541856098680,0,0,0,-0.12879682,-0.2094593,-0.45100975
1541856098711,0,0,0,0.2003792,-0.23096704,-0.0923152
1541856098719,0,0,0,-0.13711035,-0.099200726,0.2083273
1541856098738,0,0,0,-0.20421275,-0.022727966,-0.09876585
1541856098761,0,0,0,-0.124614,0.12226057,-0.47844887
1541856098779,0,0,0,-0.03986907,0.13928795,-0.5404339
1541856098798,0,0,0,0.0024980307,8.90255E-4,-0.036369324
1541856098820,0,0,0,-0.077473104,-0.124073505,0.57733154
1541856098838,0,0,0,-0.086021066,-0.020221233,0.51861095
1541856098861,0,0,0,-0.07450265,-0.041933537,0.16956758
1541856098878,0,0,0,0.06265253,0.03749132,0.16894436
1541856098897,0,0,0,-0.101073444,0.20978451,0.16938782
1541856098918,0,0,0,-0.23296228,0.15221357,0.029953957
1541856098940,0,0,0,-0.31790766,-0.013525009,-0.19636393
1541856098961,0,0,0,-0.07460916,0.006278515,-0.12278128
1541856098980,0,0,0,-0.047115445,-0.024394035,0.037408352
1541856099008,0,0,0,0.062363148,-0.043840885,0.042388916
1541856099017,0,0,0,0.074160814,0.008900642,-0.04603958
1541856099036,0,0,0,0.033895195,0.10431433,-0.07774496
1541856099056,0,0,0,-0.058248997,0.0052247047,-0.23897552
1541856099076,0,0,0,-0.0866462,-0.020766258,-0.039907455
1541856099096,0,0,0,0.01738602,-0.010402679,0.16172457
1541856099117,0,0,0,-0.21976191,-0.10486841,0.2486167
1541856099136,0,0,0,0.023823678,-0.05330038,0.12570047
1541856099159,0,0,0,0.051540434,0.030694962,-0.10235977
1541856099180,0,0,0,0.14317042,0.09717226,-0.47349548
1541856099198,0,0,0,-0.0044674873,-0.06499529,-0.3270731
1541856099221,0,0,0,0.14366919,0.011353493,-0.23908615
1541856099242,0,0,0,0.08172619,0.07757473,-0.2645836
1541856099262,0,0,0,-0.02157116,0.012307644,-0.19749069
1541856099282,0,0,0,-0.09398398,-0.10440254,0.03332281
1541856099300,0,0,0,-0.39960945,-0.06365204,0.4829545
1541856099319,0,0,0,-0.40105823,-0.08329868,0.39576292
1541856099339,0,0,0,-0.016654223,0.08388758,0.17669916
1541856099357,0,0,0,-0.004036993,0.14761972,-0.05903864
1541856099376,0,0,0,-0.042670548,0.046866417,-0.032549858
1541856099396,0,0,0,-0.012701422,0.012413502,0.060646057
1541856099416,0,0,0,-0.2219456,-0.05157709,0.27085733
1541856099436,0,0,0,-0.3380171,0.041185856,-0.08764267
1541856099456,0,0,0,-0.20175585,-0.059117317,-0.16214132
1541856099477,0,0,0,-0.012325257,0.12869596,0.024197102
1541856099497,0,0,0,-0.021986097,0.053762436,0.09757233
1541856099521,0,0,0,-0.048562676,-0.020169258,-0.04338932
1541856099540,0,0,0,0.031638145,0.024857998,-0.03758478
1541856099562,0,0,0,-0.15570056,0.011973381,-0.03030634
1541856101022,0,0,0,0.32718635,-0.08364916,0.042934895
1541856101044,0,0,0,0.32718635,-0.08364916,0.042934895
1541856101047,0,0,0,0.9017948,-0.55351114,0.44276667
1541856101059,0,0,0,0.4606631,-0.45953894,-0.23120117
1541856101092,0,0,0,0.2745139,-0.40387344,-0.48498678
