time,lt,rt,rb,w,x,y,z
1541856772975,0,0,0,0.877831,0.141609,0.008962,0.457469
1541856772990,0,0,0,0.877876,0.140987,0.011215,0.457525
1541856773012,0,0,0,0.877714,0.140248,0.012965,0.45801604
1541856773031,0,0,0,0.877528,0.139743,0.014348,0.45848596
1541856773051,0,0,0,0.877525,0.140028,0.013997,0.45841503
1541856773072,0,0,0,0.877627,0.140793,0.012624,0.45802593
1541856773090,0,0,0,0.87761,0.141482,0.01095,0.457888
1541856773111,0,0,0,0.877748,0.141971,0.009147,0.45751202
1541856773133,0,0,0,0.877853,0.142399,0.00768,0.45720398
1541856773151,0,0,0,0.878082,0.142814,0.00604,0.45666003
1541856773171,0,0,0,0.878066,0.14418,0.002723,0.45629406
1541856773192,0,0,0,0.877715,0.147093,-0.00217,0.45604205
1541856773211,0,0,0,0.877475,0.149738,-0.00659,0.45560002
1541856773231,0,0,0,0.877378,0.152922,-0.0124,0.454607
1541856773253,0,0,0,0.877202,0.156735,-0.017249,0.453488
1541856773271,0,0,0,0.877205,0.158639,-0.019013,0.452749
1541856773291,0,0,0,0.877086,0.157989,-0.017913,0.45325196
1541856773312,0,0,0,0.876928,0.155995,-0.016509,0.45429993
1541856773331,0,0,0,0.877322,0.154032,-0.015332,0.45425105
1541856773351,0,0,0,0.877921,0.152708,-0.011617,0.45365095
1541856773372,0,0,0,0.877484,0.157199,3.99E-4,0.45310903
1541856773390,0,0,0,0.877045,0.168425,0.015305,0.44965398
1541856773411,0,0,0,0.877044,0.181431,0.02704,0.44400907
1541856773432,0,0,0,0.877028,0.189696,0.037292,0.43982506
1541856773451,0,0,0,0.877147,0.190518,0.049699,0.43800104
1541856773472,0,0,0,0.877131,0.185463,0.065999,0.43805003
1541856773495,0,0,0,0.876438,0.181864,0.080905,0.43844497
1541856773515,0,0,0,0.874889,0.184329,0.089926,0.43875194
1541856773534,0,0,0,0.87238,0.189889,0.096418,0.43999803
1541856773554,0,0,0,0.869363,0.194069,0.103378,0.44255805
1541856773574,0,0,0,0.866925,0.195236,0.109576,0.44532597
1541856773596,0,0,0,0.864618,0.195345,0.114803,0.44843602
1541856773615,0,0,0,0.86174,0.197512,0.117588,0.45228803
1541856773633,0,0,0,0.858223,0.202558,0.118878,0.456388
1541856773653,0,0,0,0.854399,0.207039,0.12158,0.46081996
1541856773674,0,0,0,0.850546,0.209729,0.123929,0.466074
1541856773693,0,0,0,0.846531,0.211134,0.125469,0.47229505
1541856773715,0,0,0,0.842983,0.213945,0.124685,0.477556
1541856773733,0,0,0,0.839301,0.218113,0.12338,0.482468
1541856773751,0,0,0,0.834752,0.221304,0.123986,0.48871207
1541856773777,0,0,0,0.830103,0.221653,0.126118,0.49587393
1541856773796,0,0,0,0.826144,0.21892,0.129903,0.50267696
1541856773813,0,0,0,0.823853,0.21501,0.132865,0.50732803
1541856773831,0,0,0,0.822566,0.21065,0.13453,0.510795
1541856773855,0,0,0,0.821213,0.206228,0.134003,0.514899
1541856773875,0,0,0,0.819318,0.202139,0.131678,0.520113
1541856773895,0,0,0,0.817264,0.199218,0.12822,0.5253091
1541856773914,0,0,0,0.815183,0.197397,0.125426,0.52988505
1541856773932,0,0,0,0.813083,0.196481,0.123187,0.53396106
1541856773954,0,0,0,0.811949,0.197036,0.119295,0.536361
1541856773974,0,0,0,0.812249,0.19815,0.114071,0.53663206
1541856773992,0,0,0,0.81413,0.197989,0.109335,0.534824
1541856774012,0,0,0,0.817341,0.195278,0.10693,0.531399
1541856774035,0,0,0,0.820499,0.191143,0.108175,0.527771
1541856774053,0,0,0,0.822857,0.188494,0.110332,0.524596
1541856774074,0,0,0,0.824626,0.188338,0.110069,0.52192307
1541856774095,0,0,0,0.826006,0.188303,0.108598,0.520059
