time,lt,rt,rb,w,x,y,z
1541856775969,0,0,0,0.9293676,0.2589433,0.17700325,0.19466388
1541856775987,0,0,0,0.933753,0.24567142,0.17007641,0.19704056
1541856776006,0,0,0,0.93446,0.24208677,0.16567363,0.20181894
1541856776026,0,0,0,0.9330463,0.24362946,0.16775803,0.2047602
1541856776048,0,0,0,0.93196034,0.24517508,0.16988435,0.20610297
1541856776068,0,0,0,0.9312865,0.246376,0.1702589,0.20740342
1541856776088,0,0,0,0.9309854,0.24744862,0.16937982,0.20819688
1541856776120,0,0,0,0.9310353,0.2478649,0.16756201,0.20894802
1541856776126,0,0,0,0.93145037,0.24757876,0.1655677,0.20902729
1541856776150,0,0,0,0.9319767,0.24689117,0.16424507,0.20853734
1541856776168,0,0,0,0.9325865,0.24671489,0.16423826,0.2060095
1541856776187,0,0,0,0.93297476,0.24735066,0.16586827,0.20214736
1541856776220,0,0,0,0.9339586,0.247812,0.16681276,0.19617367
1541856776234,0,0,0,0.9354997,0.24779375,0.16751546,0.18808842
1541856776250,0,0,0,0.9369378,0.24763645,0.17008184,0.17859483
1541856776269,0,0,0,0.93867385,0.24568482,0.17677578,0.16516852
1541856776287,0,0,0,0.940823,0.24101669,0.18696938,0.14766705
1541856776310,0,0,0,0.9435316,0.23534334,0.19565667,0.12680793
1541856776328,0,0,0,0.94758797,0.22953291,0.19649592,0.10383141
1541856776349,0,0,0,0.95156175,0.22449496,0.19513288,0.07781732
1541856776371,0,0,0,0.9542589,0.21716711,0.19954698,0.049087048
1541856776392,0,0,0,0.95563805,0.20458741,0.21125694,0.016442776
1541856776421,0,0,0,0.9553322,0.19120233,0.2245425,-0.019044518
1541856776426,0,0,0,0.95442015,0.17757805,0.23401825,-0.052761197
1541856776449,0,0,0,0.95320594,0.16756488,0.2373588,-0.083553314
1541856776468,0,0,0,0.950602,0.16102849,0.24109426,-0.11090201
1541856776487,0,0,0,0.9464106,0.15869606,0.24707022,-0.13445747
1541856776506,0,0,0,0.9418043,0.15594031,0.25463375,-0.15443099
1541856776526,0,0,0,0.93844205,0.14983077,0.2591883,-0.17233306
1541856776549,0,0,0,0.93694866,0.14068955,0.25846794,-0.1884889
1541856776568,0,0,0,0.93596154,0.1277355,0.25904796,-0.20137954
1541856776588,0,0,0,0.93322253,0.11098047,0.26579896,-0.21477926
1541856776612,0,0,0,0.9286935,0.096786626,0.2777548,-0.22586083
1541856776628,0,0,0,0.9236047,0.092006594,0.29081383,-0.23219919
1541856776649,0,0,0,0.9199645,0.09095663,0.30060834,-0.23457801
1541856776668,0,0,0,0.9157902,0.09407695,0.30599883,-0.24257481
1541856776686,0,0,0,0.9161113,0.09146028,0.313434,-0.23266798
1541856776710,0,0,0,0.91402084,0.09280182,0.32016498,-0.23118883
1541856776733,0,0,0,0.9116439,0.095255256,0.3276916,-0.22901982
1541856776749,0,0,0,0.9079855,0.0970542,0.33848593,-0.22709036
1541856776769,0,0,0,0.90347034,0.09560758,0.35101256,-0.22669554
1541856776788,0,0,0,0.8999552,0.086052984,0.3613518,-0.22825527
1541856776812,0,0,0,0.89660496,0.07208157,0.3701696,-0.23211688
1541856776828,0,0,0,0.8934136,0.06040819,0.3777837,-0.23546249
1541856776852,0,0,0,0.8897267,0.054291036,0.38672963,-0.23638779
1541856776869,0,0,0,0.8849178,0.05134436,0.39670503,-0.23855716
1541856776887,0,0,0,0.88302916,0.04445914,0.40446943,-0.23385322
1541856776916,0,0,0,0.8814052,0.03992835,0.4089379,-0.23302442
1541856776934,0,0,0,0.8794572,0.044262134,0.41495937,-0.22892046
1541856776954,0,0,0,0.87653935,0.050674863,0.42299953,-0.22401416
1541856776973,0,0,0,0.87443554,0.05950815,0.42790097,-0.2207306
