time,lt,rt,rb,x,y,z
1541857608696,0,0,0,-0.96760166,0.535038,-0.4731264
1541857608718,0,0,0,-0.96585715,0.5602064,-0.489048
1541857608737,0,0,0,-0.9479867,0.5802431,-0.5038843
1541857608757,0,0,0,-0.91292906,0.6029997,-0.5225353
1541857608778,0,0,0,-0.8664936,0.6264863,-0.5428028
1541857608798,0,0,0,-0.8106184,0.6402087,-0.5579004
1541857608818,0,0,0,-0.75262123,0.643157,-0.5662966
1541857608839,0,0,0,-0.712406,0.6462383,-0.572505
1541857608858,0,0,0,-0.69270617,0.66432095,-0.5854616
1541857608878,0,0,0,-0.68254936,0.6977706,-0.6065235
1541857608900,0,0,0,-0.65987384,0.738389,-0.6328583
1541857608917,0,0,0,-0.6105208,0.7759237,-0.659564
1541857608937,0,0,0,-0.5432597,0.8048239,-0.6822758
1541857608960,0,0,0,-0.48327982,0.8279457,-0.70042515
1541857608979,0,0,0,-0.4338141,0.84893847,-0.716095
1541857608997,0,0,0,-0.38316572,0.86970425,-0.731349
1541857609019,0,0,0,-0.32753402,0.8902521,-0.74639034
1541857609038,0,0,0,-0.26458335,0.9143052,-0.76333237
1541857609058,0,0,0,-0.19108935,0.93907833,-0.7805586
1541857609079,0,0,0,-0.1214215,0.96141815,-0.7955828
1541857609097,0,0,0,-0.07843152,0.97602844,-0.80498123
1541857609117,0,0,0,-0.061400443,0.98015356,-0.807724
1541857609138,0,0,0,-0.047471,0.9840503,-0.81022453
1541857609157,0,0,0,-0.044625252,1.0023346,-0.82029724
1541857609178,0,0,0,-0.052530184,1.0292296,-0.8347187
1541857609204,0,0,0,-0.059567392,1.0555353,-0.84873104
1541857609222,0,0,0,-0.067569196,1.0705023,-0.8565445
1541857609240,0,0,0,-0.07203977,1.0739775,-0.8582821
1541857609263,0,0,0,-0.07254757,1.069777,-0.8560171
1541857609286,0,0,0,-0.07180962,1.0628653,-0.852335
1541857609303,0,0,0,-0.079786,1.0601468,-0.850647
1541857609322,0,0,0,-0.08728512,1.0673018,-0.8542652
1541857609341,0,0,0,-0.08704297,1.0822468,-0.86226654
1541857609363,0,0,0,-0.08019866,1.0965567,-0.8700905
1541857609384,0,0,0,-0.075659275,1.0988436,-0.87143517
1541857609403,0,0,0,-0.07466471,1.0843678,-0.86375713
1541857609422,0,0,0,-0.07554968,1.0673237,-0.854619
1541857609446,0,0,0,-0.07747933,1.0603127,-0.85080147
1541857609463,0,0,0,-0.07431823,1.065948,-0.8539152
1541857609482,0,0,0,-0.0718175,1.0717344,-0.8570852
1541857609504,0,0,0,-0.065229505,1.0739279,-0.8584423
1541857609524,0,0,0,-0.057236165,1.0621295,-0.852334
1541857609540,0,0,0,-0.04873459,1.0353708,-0.83813953
1541857609563,0,0,0,-0.04128252,1.0047069,-0.8216753
1541857609586,0,0,0,-0.037472174,0.98004055,-0.80827236
1541857609602,0,0,0,-0.0383092,0.9640813,-0.79947186
1541857609622,0,0,0,-0.0354373,0.95218134,-0.79296684
1541857609639,0,0,0,-0.027168363,0.9447293,-0.7890358
1541857609667,0,0,0,-0.020965412,0.9417114,-0.78750134
1541857609687,0,0,0,-0.017383605,0.9447856,-0.7892847
1541857609703,0,0,0,-0.015490338,0.95244217,-0.79356575
1541857609722,0,0,0,-0.014400363,0.96445227,-0.8002205
1541857609744,0,0,0,-0.0043950975,0.96204615,-0.79910374
1541857609762,0,0,0,0.012284681,0.9480977,-0.7917156
1541857609782,0,0,0,0.027523592,0.9380255,-0.7863989
1541857609805,0,0,0,0.04665544,0.941916,-0.7888546
1541857609822,0,0,0,0.051991537,0.9480796,-0.79234505
1541857609841,0,0,0,0.06645115,0.9375,-0.78666496
1541857609863,0,0,0,0.087857366,0.91838646,-0.77625465
1541857609881,0,0,0,0.110976666,0.9031992,-0.76795197
1541857609903,0,0,0,0.13698263,0.9126291,-0.77336884
1541857609922,0,0,0,0.16356567,0.9236984,-0.77961063
1541857609941,0,0,0,0.17768669,0.9016123,-0.76726055
1541857609963,0,0,0,0.193874,0.85238504,-0.7394371
1541857609984,0,0,0,0.2161209,0.80730677,-0.7135639
1541857610003,0,0,0,0.2228581,0.786109,-0.70129204
1541857610021,0,0,0,0.20951785,0.7726569,-0.6935663
1541857610043,0,0,0,0.18283136,0.74597645,-0.67809296
1541857610063,0,0,0,0.1440989,0.69849825,-0.6501045
1541857610082,0,0,0,0.0985433,0.63522005,-0.6120148
1541857610103,0,0,0,0.06747333,0.5825248,-0.5796976
1541857610121,0,0,0,0.06916114,0.592144,-0.58559227
1541857610141,0,0,0,0.11320428,0.6905017,-0.6452093
1541857610164,0,0,0,0.16393538,0.8238797,-0.7232008
