time,lt,rt,rb,x,y,z
1541858474223,0,0,0,-0.11552195,0.12407773,-0.15967408
1541858474246,0,0,0,-0.16133684,-0.03841243,-0.14990023
1541858474265,0,0,0,-0.22120163,-0.0072583007,-0.049718324
1541858474286,0,0,0,-0.10452638,-0.0060365708,0.12132394
1541858474310,0,0,0,0.045746475,-0.042077623,0.16652797
1541858474329,0,0,0,0.2528298,-0.12271183,0.1097175
1541858474351,0,0,0,0.32430103,-0.042688485,0.08833723
1541858474373,0,0,0,0.28398392,-0.11721404,0.10238712
1541858474392,0,0,0,0.11355252,-0.4745702,0.09139155
1541858474414,0,0,0,0.0127597535,-0.489231,0.1097175
1541858474436,0,0,0,-0.13812396,-0.4134837,0.1097175
1541858474456,0,0,0,-0.26946,-0.29680845,0.07062213
1541858474477,0,0,0,-0.37330708,-0.22900239,0.02847243
1541858474499,0,0,0,-0.46249342,-0.16180721,-0.048496593
1541858474519,0,0,0,-0.45271957,-0.06284704,-0.06437909
1541858474539,0,0,0,-0.33176824,0.04649784,-0.041777074
1541858474561,0,0,0,-0.13873483,0.24625078,9.83493E-4
1541858474581,0,0,0,0.012148888,0.34887612,0.068789534
1541858474603,0,0,0,0.13798712,0.2914548,0.17080404
1541858474625,0,0,0,0.37744632,-0.098888084,0.21600805
1541858474644,0,0,0,0.53199524,-0.41470543,0.10421972
1541858474665,0,0,0,0.5081715,-0.4501356,-0.054605242
1541858474688,0,0,0,0.30964026,-0.34751025,-0.042998806
1541858474707,0,0,0,0.114163384,-0.19968085,0.051685307
1541858474728,0,0,0,-0.06176581,-0.012756088,0.08222857
1541858474752,0,0,0,-0.11307848,-0.021919068,-0.006957755
1541858474771,0,0,0,-0.07276139,-0.10255328,-0.106528796
1541858474796,0,0,0,0.024977058,-0.11782491,-0.17861089
1541858474819,0,0,0,0.111109056,-0.09766636,-0.16944791
1541858474835,0,0,0,0.19540846,-0.11843578,-0.12180042
1541858474856,0,0,0,0.26871228,-0.12271183,-0.1028636
1541858474879,0,0,0,0.279097,-0.0775078,-0.112637445
1541858474900,0,0,0,0.18868895,-0.056127522,-0.1046962
1541858474924,0,0,0,0.11049819,-0.002371379,-0.099809274
1541858474942,0,0,0,0.027420519,0.06115861,-0.09919841
1541858474965,0,0,0,-6.8416906E-5,0.12835379,-0.11813523
1541858474995,0,0,0,0.064683296,0.06787813,-0.118746094
1541858475016,0,0,0,0.042081285,-0.06467964,-0.12974167
1541858475031,0,0,0,-0.037942063,0.08192802,-0.13218513
1541858475048,0,0,0,-0.21570385,0.17722301,-0.06254649
1541858475079,0,0,0,-0.4288958,0.0752085,-0.08942456
1541858475092,0,0,0,-0.4838737,-0.059181847,-0.19021733
1541858475114,0,0,0,-0.42461976,-0.11354885,-0.19327165
1541858475132,0,0,0,-0.20715174,-0.12698789,-0.0888137
1541858475150,0,0,0,-6.8416906E-5,-0.13187481,0.011368202
1541858475171,0,0,0,0.0946157,-0.32124305,0.04496579
1541858475194,0,0,0,0.067126766,-0.1917396,-0.028948905
1541858475213,0,0,0,-0.029389948,-0.18624182,0.02847243
1541858475236,0,0,0,-0.17844108,-0.10499674,0.055350497
1541858475256,0,0,0,-0.26090786,-0.063457906,0.016255125
1541858475279,0,0,0,-0.21936904,-0.1373726,-0.024672847
1541858475300,0,0,0,-0.15400645,-0.10682934,0.06695694
1541858475320,0,0,0,-0.10147204,0.13018638,0.0975002
1541858475342,0,0,0,0.031696577,0.11063869,0.025418103
1541858475361,0,0,0,0.2192322,0.17111436,3.726278E-4
1541858475384,0,0,0,0.20945837,0.16439484,0.050463576
1541858475402,0,0,0,0.086674444,0.051384762,0.06634608
1541858475423,0,0,0,0.0927831,-0.0042039747,0.07184386
1541858475448,0,0,0,0.10072435,0.021452365,0.046187524
1541858475467,0,0,0,0.13187848,-0.028027719,-0.0087903505
1541858475487,0,0,0,0.19968453,0.012900252,0.024196373
1541858475519,0,0,0,0.22717345,0.03855659,0.027861565
1541858475529,0,0,0,0.20090625,0.045886975,-0.05643784
1541858475550,0,0,0,0.18868895,0.18027733,-0.17005877
1541858475572,0,0,0,0.17219558,0.052606493,-0.17861089
1541858475591,0,0,0,0.087896176,0.014121982,-0.059492163
1541858475615,0,0,0,0.020701002,-0.0017605136,0.0028160887
1541858475634,0,0,0,0.026809655,0.05932601,0.015644258
1541858475654,0,0,0,0.10133521,0.011067657,0.040689737
1541858475676,0,0,0,0.16791953,0.04283265,0.053517904
1541858475697,0,0,0,0.21801049,0.113082156,0.053517904
1541858475718,0,0,0,0.22045393,0.15767531,0.0694004
1541858475739,0,0,0,0.1630326,0.05932601,0.06390262
1541858475760,0,0,0,0.056131188,0.0629912,0.019920316
1541858475779,0,0,0,-0.08986561,0.1472906,-0.00756862
1541858475800,0,0,0,-0.14728694,0.12774292,-0.0032925636
1541858475823,0,0,0,-0.20898433,0.1350733,0.0058704154
1541858475842,0,0,0,-0.33543345,0.23830952,-0.0307815
1541858475863,0,0,0,-0.3604789,0.2034902,-0.07842898
1541858475886,0,0,0,-0.14362174,0.024506692,-0.0710986
1541858475905,0,0,0,0.052465998,-0.009090897,0.049852714
1541858475927,0,0,0,0.074457146,0.021452365,0.13231952
1541858475948,0,0,0,0.10500041,0.039778326,0.18668653
1541858475969,0,0,0,0.13554367,0.07765197,0.19707124
1541858475990,0,0,0,0.073235415,0.05810428,0.14026077
1541858476013,0,0,0,0.0017641789,0.10086484,0.039468
1541858476034,0,0,0,-0.025724757,0.11552561,-0.02833804
1541858476053,0,0,0,-0.026946487,0.10819523,-0.05765957
1541858476079,0,0,0,-0.026946487,0.09475619,0.0052595497
1541858476094,0,0,0,-0.008009666,0.07643024,0.07489818
1541858476115,0,0,0,0.056131188,0.025728421,0.10421972
1541858476138,0,0,0,0.19724105,-0.020086471,0.068178676
1541858476158,0,0,0,0.32613364,0.0507739,0.15858673
1541858476179,0,0,0,0.39760485,0.059936874,0.2679316
1541858476201,0,0,0,0.44219804,-0.081172995,0.16164105
1541858476220,0,0,0,0.4580805,-0.24244142,-8.491027E-4
1541858476240,0,0,0,0.3811115,-0.39637944,-0.14562416
1541858476263,0,0,0,0.17402819,-0.33162776,-0.16456099
1541858476286,0,0,0,-0.008009666,-0.23999795,-0.16517186
1541858476304,0,0,0,-0.13445877,-0.15325509,-0.20609982
1541858476330,0,0,0,-0.31527486,-0.0213082,-0.27573848
1541858476349,0,0,0,-0.563897,0.041000053,-0.33682498
1541858476368,0,0,0,-0.68118316,0.10208658,-0.35698354
1541858476389,0,0,0,-0.36964187,0.16378397,-0.24641693
1541858476407,0,0,0,0.080565795,-0.13126394,-0.17861089
1541858476430,0,0,0,0.29070342,-0.27726075,-0.14440243
1541858476452,0,0,0,0.115385115,-0.20823297,0.062680885
1541858476474,0,0,0,-0.06237667,-0.06284704,0.17446922
1541858476496,0,0,0,-0.08436782,-0.0353581,0.16225192
1541858476519,0,0,0,-6.792821E-4,0.036723994,0.17996702
1541858476534,0,0,0,0.04391388,0.051384762,0.16897143
1541858476556,0,0,0,-0.030000815,0.0012938126,0.12376741
1541858476580,0,0,0,-0.14484347,0.009845926,0.09261328
1541858476600,0,0,0,-0.17660847,0.009845926,0.038246274
