time,lt,rt,rb,x,y,z
1541858476597,0,0,0,0.17012598,0.19303341,-0.17134771
1541858476615,0,0,0,0.014966198,-0.059864793,-0.26297748
1541858476632,0,0,0,0.08979719,0.13225232,-0.2959642
1541858476650,0,0,0,0.16310102,0.06505715,-0.31764993
1541858476669,0,0,0,0.1554652,-0.08277224,-0.38606682
1541858476690,0,0,0,0.14660765,-0.20738874,-0.58459806
1541858476710,0,0,0,0.14782938,-0.37904188,-0.8176431
1541858476730,0,0,0,0.14813483,-0.4914411,-0.9450085
1541858476756,0,0,0,0.3475823,-0.552833,-1.1215485
1541858476772,0,0,0,0.49663344,-0.7244862,-1.59558
1541858476790,0,0,0,0.45448375,-0.91751957,-1.9575176
1541858476812,0,0,0,0.4269948,-0.90316427,-2.1025982
1541858476840,0,0,0,0.6814202,-1.135293,-2.0405953
1541858476855,0,0,0,1.087951,-1.8811595,-1.8347337
1541858476871,0,0,0,1.3326025,-1.7941113,-1.8237382
1541858476891,0,0,0,1.5442673,-1.1142182,-2.1697934
1541858476912,0,0,0,1.5607607,-1.0735956,-2.5723536
1541858476934,0,0,0,1.7143933,-0.893085,-1.9507982
1541858476959,0,0,0,2.8026497,0.034513887,-0.9416488
1541858476971,0,0,0,3.7446039,1.0024298,-0.65301496
1541858476997,0,0,0,3.8056905,0.24587326,-1.5632042
1541858477010,0,0,0,2.8820622,-1.1597277,-1.9419407
1541858477031,0,0,0,1.3225232,-1.3185526,-1.1963795
1541858477055,0,0,0,-0.8072584,0.34483343,-0.8888089
1541858477071,0,0,0,-1.2538009,2.9413161,-0.90469146
1541858477091,0,0,0,-1.1988231,1.9981402,-1.0650436
1541858477112,0,0,0,-1.5103643,1.1902709,-1.1319333
1541858477136,0,0,0,-2.0683897,0.37232238,-1.310306
1541858477152,0,0,0,-1.3753631,-0.6392705,-1.9168952
1541858477173,0,0,0,-0.093462385,-0.75502944,-2.381458
1541858477192,0,0,0,0.63713247,-0.31612277,-2.6645942
1541858477211,0,0,0,0.7877107,-0.28588495,-2.8591547
1541858477231,0,0,0,0.7669413,-0.25870144,-2.910162
1541858477252,0,0,0,0.4642576,0.19853121,-3.2436945
1541858477271,0,0,0,-0.18661933,0.958753,-3.651447
1541858477291,0,0,0,-1.0311406,1.412015,-3.5564575
1541858477312,0,0,0,-2.0344868,1.3729197,-3.1343496
1541858477340,0,0,0,-3.1609223,1.2788464,-2.7800477
1541858477357,0,0,0,-4.5506406,1.003957,-2.4862216
1541858477371,0,0,0,-4.6835036,0.79443026,-2.6316075
1541858477391,0,0,0,-3.5640934,0.593761,-3.0027082
1541858477411,0,0,0,-3.0014863,1.2861768,-2.6502388
1541858477433,0,0,0,-2.8215866,0.9104946,-2.2708917
1541858477451,0,0,0,-2.473088,0.2098322,-2.0760255
1541858477471,0,0,0,-2.112983,-0.4541783,-2.0809124
1541858477495,0,0,0,-1.7754798,-0.35827246,-2.4049764
1541858477516,0,0,0,-1.4230106,0.50915617,-2.9177978
