time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.006610,-0.321582,0.406586,-2.320897
0.031635,-0.016590,0.070776,-0.576236
0.051624,0.105226,-0.201138,1.748761
0.071643,0.136452,-0.146078,1.236173
0.096637,0.072735,0.128123,-0.349241
0.106647,-0.035942,0.125531,-0.767603
0.131671,0.045256,0.068589,-0.224128
0.151660,0.144248,0.060327,0.262724
0.171680,0.282124,-0.304934,0.223104
0.196674,0.070530,0.233171,0.012612
0.211688,-0.097589,0.147172,0.082965
0.231708,-0.053454,0.083682,-0.066580
0.251697,0.044339,0.179065,-0.245360
0.271716,0.002281,0.092678,-0.096751
0.291736,-0.090556,-0.013998,0.208441
0.311725,-0.204008,-0.374872,0.259996
0.331744,-0.394249,-0.476451,0.046488
0.351764,-0.492407,-0.488741,-0.142296
0.371753,-0.271858,-0.166693,-0.048019
0.391780,-0.108422,-0.132123,0.027468
0.411769,-0.021993,-0.062033,0.037734
0.431789,-0.160352,-0.143259,0.107599
0.451809,-0.076580,-0.167684,0.036699
0.471798,0.037968,-0.212962,-0.102083
0.491817,-0.102407,-0.148885,-0.055762
0.511837,-0.055604,-0.104716,0.084263
0.531826,-0.075837,-0.116791,0.025198
0.551845,-0.072088,-0.074164,-0.050956
0.571834,-0.143023,-0.189576,0.098322
0.596859,-0.042033,-0.070770,0.151674
0.611873,-0.058824,-0.104813,-0.012816
0.631862,-0.161185,-0.111161,-0.086810
0.651882,-0.154074,-0.120023,0.035163
0.671871,-0.030983,0.004175,0.076235
0.691890,0.156972,0.395477,-0.206370
0.711910,1.018162,1.706622,-3.025661
0.731899,0.732830,0.883360,0.448039
0.751918,0.782495,0.477046,0.144605
0.771938,0.550683,0.223154,-0.097224
0.791927,0.391670,0.118460,-0.003423
0.811946,0.201018,0.031070,0.119851
0.831935,0.805273,0.111939,0.049965
0.851955,0.977971,0.143584,-0.106343
0.871975,0.450672,-0.417382,-0.036822
0.891964,0.027010,-0.148081,0.105004
0.906978,-1.526962,0.239358,0.154792
0.932003,-0.549490,-0.058422,0.017698
0.951992,-1.147707,0.170107,0.048036
0.972011,-0.540070,-0.040635,0.053451
0.997005,-0.332594,-0.161498,-0.049133
1.012020,0.239270,-0.309603,0.021632
1.032039,-0.152852,-0.275766,0.121300
1.052028,-0.105907,-0.340821,0.017465
1.072048,-0.075880,-0.344757,-0.090490
1.092067,-0.828857,-5.421093,0.017906
1.112056,0.286283,-0.756080,0.029265
1.132076,0.397496,1.158466,0.057564
1.152065,-0.274116,-0.091278,0.022326
1.172084,-0.113919,-0.055717,0.092979
1.192104,-0.097002,-0.145631,0.030469
1.212093,-0.087007,-0.066958,-0.105727
1.232112,-0.084457,0.008211,-0.031748
1.252132,-0.079256,-0.111918,0.132492
1.272121,-0.110658,-0.113169,0.092721
1.292141,-0.131608,-0.055446,-0.042608
1.307125,-0.105698,-0.043988,-0.074257
1.332149,-0.067045,-0.092888,0.075126
1.352169,-0.096396,-0.104111,0.047071
1.372158,-0.069189,-0.025112,-0.005797
1.397163,-0.051782,-0.078303,0.022255
1.412147,-0.102679,-0.119214,0.068739
1.432167,-0.124354,-0.116214,0.026383
1.452186,-0.101192,-0.042051,0.006898
1.472176,-0.102976,-0.047542,0.061850
1.492195,-0.120241,-0.068830,0.035841
1.512215,-0.133679,-0.041663,-0.044880
1.532203,-0.110319,-0.077309,0.014334
1.552223,-0.080217,-0.111094,0.092278
1.572212,-0.079728,-0.112253,0.015887
1.592231,-0.098228,-0.053897,-0.052729
1.612251,-0.076804,-0.056729,0.066229
1.632241,-0.056192,-0.133799,0.106151
1.652259,-0.060143,-0.097764,-0.010663
1.672280,-0.090031,-0.054426,-0.045675
1.692268,-0.095288,-0.059758,0.107162
1.712288,-0.126158,-0.126211,0.076753
1.732277,-0.121068,-0.039486,-0.068719
1.752296,-0.115141,0.003030,-0.020845
1.772316,-0.074740,-0.073004,0.085605
1.792305,-0.073006,-0.107621,0.037728
1.812324,-0.089240,-0.075888,-0.069174
1.832344,-0.104599,-0.062117,0.005153
1.852333,-0.117717,-0.119118,0.053147
1.872353,-0.080025,-0.096350,0.004827
1.892341,-0.061584,-0.041176,-0.035996
1.912361,-0.076409,-0.029703,0.086231
1.932380,-0.080975,-0.090810,0.079040
1.952369,-0.152317,-0.069357,-0.012554
1.972389,-0.143652,-0.028357,-0.031738
1.992408,-0.079636,-0.029417,0.081693
2.012397,-0.121333,-0.156206,0.082601
2.032418,-0.051406,-0.074776,0.069661
2.052406,-0.005253,-0.022287,0.034767
2.072426,-0.059856,-0.057457,-0.014667
2.092445,-0.099428,-0.108694,-0.094982
2.112434,-0.071419,-0.146769,-0.026371
2.132454,-0.094914,-0.078158,0.086813
2.152473,-0.166699,-0.096139,0.091145
2.172462,-0.143549,-0.009004,0.036069
2.192482,-0.089750,0.052452,0.013419
2.212471,-0.066730,-0.048125,-0.037092
2.232491,-0.101406,-0.105653,-0.061641
2.252510,-0.063356,-0.127205,0.012209
2.272499,-0.050177,-0.088699,0.105573
2.292518,-0.072537,-0.074392,0.075595
2.312507,-0.128710,-0.105834,-0.041677
2.332527,-0.059953,-0.077875,-0.020532
2.352546,-0.061071,-0.073696,0.083016
2.372535,-0.056754,-0.096389,0.088433
2.392536,-0.092687,-0.067999,0.025523
2.412555,-0.133736,-0.060883,-0.018297
2.432544,-0.159304,-0.023485,0.071199
2.452564,-0.172387,-0.023428,0.053003
2.472553,-0.102629,-0.049065,-0.022169
2.492573,-0.139459,-0.037183,0.022100
2.512592,-0.118884,-0.033518,0.110270
2.532581,-0.061844,-0.088282,0.051821
2.552601,-0.013190,-0.174069,-0.108748
2.572620,-0.064870,-0.172566,-0.047427
2.592609,-0.070375,-0.133130,0.148816
2.612629,-0.030055,-0.094208,0.140941
2.632618,-0.015078,-0.008418,-0.004791
2.652637,-0.081123,-0.014327,-0.032001
2.672657,-0.143145,-0.119027,-0.040411
2.692646,-0.139198,-0.145388,-0.080984
2.712665,-0.089835,-0.039161,0.064427
2.732685,-0.136807,0.002293,0.173152
2.752674,-0.129175,-0.082748,-0.072618
2.772693,-0.099466,-0.043617,-0.102970
2.792682,-0.053618,-0.070645,0.135274
2.812702,-0.071018,-0.012960,-0.151520
2.832721,-0.139559,-0.196239,-0.042043
2.852710,-0.113857,-0.120283,0.253098
2.872730,0.260256,-0.403555,-0.044805
2.892750,0.223299,-0.041106,-0.283411
2.912739,-0.166366,0.184285,-0.022973
2.932758,-0.433458,0.032628,0.308993
2.952747,-0.180842,-0.067183,0.116970
2.972767,-0.127020,-0.122188,-0.035820
2.992786,0.041249,0.380932,0.123787
3.012775,-0.349013,0.663570,0.134620
3.032795,-0.629138,0.066925,-0.067763
3.052814,-0.571621,0.449412,-0.076267
3.077808,-0.271534,0.027005,0.136173
