time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.013998,-0.123160,0.395587,-1.853841
0.033957,0.041990,0.901712,-1.867823
0.053915,0.047658,0.564277,0.020550
0.078848,0.182164,0.403585,1.593735
0.093802,0.268355,0.400570,0.839924
0.113760,0.272226,0.493832,-0.414851
0.133719,0.321266,0.598136,-0.617527
0.153677,0.209764,0.405311,-0.206030
0.178610,0.000607,-0.296456,0.180713
0.193564,-0.066562,-0.099406,0.209996
0.218497,-0.093725,-0.154723,0.184223
0.233481,-0.088603,-0.038582,0.099895
0.253409,-0.032946,0.121230,-0.135717
0.278372,0.069282,0.038929,-0.225631
0.293326,-0.015126,0.075352,-0.047705
0.313284,-0.088607,-0.616247,0.249155
0.333243,-9.144508,2.097168,0.311159
0.358176,-0.079205,-0.937250,0.032744
0.378134,-2.842422,0.189837,-0.107426
0.393088,-1.288603,0.144508,-0.006279
0.418021,-0.414083,0.036359,0.032388
0.433005,-0.257347,0.122634,0.080289
0.452933,-0.150905,0.113522,0.105227
0.477896,-0.250243,0.100354,0.016027
0.497830,-0.088986,0.033577,-0.083822
0.517789,-0.214221,0.024258,0.015761
0.532742,-0.188634,0.078485,0.098995
0.557706,-0.225773,0.058611,0.039965
0.577634,-0.250879,0.052156,-0.000236
0.597592,-0.152717,-0.002495,0.091857
0.617551,-0.145448,0.008755,0.125417
0.632504,-0.192220,0.025264,-0.017347
0.657467,-0.270927,0.151725,-0.052522
0.677395,-0.232556,0.104275,0.047581
0.697354,-0.174892,0.037798,0.092710
0.717312,-0.237896,0.100064,0.067212
0.737271,-0.065348,0.060744,-0.016423
0.757229,-0.210249,0.060458,0.119073
0.777157,-0.282716,0.156274,0.043931
0.797116,-0.280286,0.103078,-0.020266
0.817074,-0.227127,0.159548,0.021869
0.837033,-0.125663,0.230226,0.144673
0.856961,-1.027313,-0.745849,0.037773
0.876919,-1.073205,-0.359083,-0.055538
0.896878,-0.217806,-0.092547,0.008984
0.916836,-0.033188,0.065593,0.116219
0.936795,-0.929899,-0.393618,0.096088
0.956723,-0.274107,0.054849,0.014765
0.976681,0.011339,0.088652,0.015876
0.996640,-0.177860,0.058544,-0.005014
1.016598,-0.097977,0.035294,-0.029528
1.036557,-0.278326,0.107414,0.037327
1.056485,-0.192774,0.139977,0.139174
1.076443,-0.276084,0.103593,0.006816
1.096402,-0.297761,0.095443,-0.059709
1.116360,-0.410251,0.007994,0.016491
1.136288,-0.342290,-0.078862,0.070904
1.156247,-0.200864,0.038839,0.051696
1.176205,-0.240115,0.069650,0.056871
1.196164,-0.212800,0.056526,0.087867
1.216122,-0.213836,0.039792,0.021241
1.236050,-0.238562,0.050253,-0.067025
1.256009,-0.196359,0.117505,0.015704
1.275967,-0.150470,0.068885,0.103707
1.295926,-0.197159,0.056665,0.075913
1.315854,-0.216523,0.093779,-0.036273
1.335812,-0.233362,0.107258,-0.024266
1.355771,-0.148483,0.053662,0.084670
1.375729,-0.175374,0.063067,0.032468
1.395688,-0.204891,0.112153,-0.022376
1.415616,-0.239488,0.094960,0.040327
1.435574,-0.175857,0.053259,0.082829
1.455533,-0.204508,0.074524,0.047292
1.475491,-0.208314,0.162476,-0.003058
1.495450,-0.182091,0.196101,0.046552
1.515391,-0.203263,0.136597,0.042278
1.535349,-0.301025,0.057134,-0.025389
1.555308,-0.267656,0.074406,-0.002030
1.575266,-0.155059,0.126188,0.108643
1.595194,-0.218516,0.135551,0.033139
1.615153,-0.219661,0.105231,-0.043246
1.635111,-0.190789,0.058375,0.030496
1.655070,-0.173638,0.096509,0.082834
1.675028,-0.168999,0.079769,0.044544
1.694956,-0.183380,0.130315,-0.003266
1.714915,-0.165188,0.083481,0.053777
1.734873,-0.195170,0.048032,0.073541
1.754832,-0.227961,0.241238,-0.002858
1.774790,-0.252400,0.115188,-0.002280
1.794718,-0.196387,0.167782,0.075737
