time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.015071,-0.942424,0.777631,-2.933479
0.035151,-1.709016,0.660421,-1.685520
0.055201,-1.737162,0.207623,-0.065037
0.075282,-1.785530,-0.567067,0.681543
0.095332,-1.471519,0.430432,0.588929
0.115382,-1.518289,0.486691,0.073675
0.135463,-1.633375,0.425428,-0.420320
0.155513,-1.552956,0.440295,-0.571967
0.175593,-1.461737,0.467916,-0.344661
0.195643,-1.519799,0.471349,-0.033670
0.215720,-1.589694,0.456406,0.126404
0.235770,-1.576848,0.470254,0.061027
0.255850,-1.602462,0.463425,-0.186978
0.275901,-1.617097,0.539905,-0.379319
0.295951,-1.601351,0.532157,-0.267192
0.316031,-1.565866,0.474724,0.013315
0.336081,-1.380249,0.280422,0.069257
0.356162,-2.000150,0.836639,-0.116018
0.376212,-1.860882,0.306960,-0.201399
0.396292,-1.944696,0.588813,-0.150569
0.416342,-1.651586,0.506685,-0.126466
0.436423,-1.565843,0.503488,-0.100820
0.456473,-1.584059,0.475442,-0.071362
0.476523,-1.587999,0.415736,-0.107995
0.496604,-1.532482,0.413259,-0.180433
0.516654,-1.480426,0.552469,-0.141465
0.536734,-1.556240,0.524782,-0.103724
0.556784,-1.554162,0.437953,-0.114151
0.576865,-1.550786,0.444593,-0.143207
0.596915,-1.542754,0.484587,-0.084872
0.616995,-1.534887,0.456571,-0.056152
0.637046,-1.552196,0.473348,-0.100810
0.657096,-1.571682,0.528740,-0.171768
0.677176,-1.613422,0.538006,-0.152143
0.697226,-1.612260,0.447456,-0.065963
0.712302,-1.592385,0.424976,-0.060280
0.732382,-1.550994,0.462629,-0.076927
0.752432,-1.538709,0.539158,-0.122358
0.777487,-1.568354,0.479686,-0.136339
0.797537,-1.588195,0.472953,-0.116838
0.812613,-1.538654,0.467120,-0.126904
0.837668,-1.527625,0.477674,-0.062301
0.852744,-0.226657,0.283217,-0.048263
0.872824,-1.974104,0.741604,-0.148079
0.892874,-1.881679,0.260971,-0.174359
0.912955,-1.721736,0.513691,-0.089326
0.933005,-1.163983,0.268279,-0.003099
0.953086,-1.628462,0.534621,-0.052324
0.973136,-1.706613,0.608066,-0.130886
0.993186,-1.577548,0.528889,-0.183596
1.013266,-1.557457,0.490220,-0.172766
1.033316,-1.571379,0.505677,-0.113611
1.053397,-1.576751,0.529846,-0.051626
1.073447,-1.562169,0.490946,-0.065806
1.093527,-1.557638,0.501097,-0.161960
1.113578,-1.542538,0.614987,-0.199205
1.133658,-1.708116,0.358040,-0.126128
1.153708,-1.525281,0.522909,-0.042742
1.173758,-1.502814,0.543293,-0.090535
1.193839,-1.501438,0.458662,-0.105581
1.213875,-1.558975,0.501702,-0.085724
1.233955,-1.549284,0.458199,-0.122223
1.254005,-1.535685,0.541519,-0.152321
1.274086,-1.564050,0.556290,-0.108600
1.294136,-1.554503,0.484319,-0.058956
1.314186,-1.591125,0.471281,-0.113120
1.334267,-1.573937,0.514827,-0.163960
1.354317,-1.517504,0.526299,-0.109380
1.374397,-1.532682,0.488143,-0.084322
1.394447,-1.541946,0.525818,-0.130548
1.414528,-1.572551,0.537738,-0.151128
1.434578,-1.536191,0.500191,-0.100587
1.454658,-1.568134,0.477375,-0.081636
1.474709,-1.582719,0.508807,-0.107854
1.494759,-1.551612,0.555141,-0.109689
1.514839,-1.558208,0.519741,-0.107487
1.534889,-1.584489,0.527252,-0.143217
1.554970,-1.616313,0.521962,-0.146680
1.575020,-1.567005,0.518694,-0.064701
1.595100,-1.536039,0.503562,-0.087764
1.615150,-1.531207,0.503306,-0.165268
1.635231,-1.539284,0.531469,-0.150923
1.655281,-1.537162,0.514114,-0.086871
1.675331,-1.522346,0.472572,-0.085396
