time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.008003,0.040596,0.547771,-0.557302
0.022965,-0.012208,0.262838,-1.129221
0.042914,-0.090588,-0.235187,-0.685995
0.062863,0.110292,-0.194027,0.473753
0.082812,0.209578,-0.197547,0.55623
0.102761,0.168037,0.021012,0.303491
0.122711,-0.058522,0.001108,-0.327416
0.14266,0.004434,-0.056722,-0.369189
0.162609,0.09178,-0.010423,-0.086781
0.182558,0.071237,-0.006838,0.061485
0.202507,0.039572,-0.058213,0.192503
0.222456,-0.006789,-0.036599,0.062782
0.242405,-0.016087,-0.043663,-0.122957
0.262354,-0.050028,0.05758,-0.194538
0.282303,-0.011787,0.070922,-0.13535
0.302252,-0.025057,-0.091423,0.052064
0.322201,0.026536,-0.130326,0.123244
0.342151,-0.006547,-0.099305,0.03096
0.3621,-0.001202,0.02063,-0.048797
0.382049,0.048709,-0.013368,-0.076385
0.401998,0.036299,0.028616,-0.065549
0.421947,0.026175,0.008295,-0.009456
0.441896,0.01348,-0.034639,0.017658
0.461845,0.045345,-0.11359,-0.032912
0.481794,0.054811,-0.085951,-0.069166
0.501743,0.047703,0.017938,-0.065085
0.521692,0.035492,0.041242,-0.02283
0.541642,0.064785,-0.057663,-0.016669
0.561591,0.024437,-0.067616,-0.057266
0.58154,0.025711,-0.028243,-0.002349
0.601489,0.053588,-0.045521,0.027582
0.621438,0.044839,-0.056512,-0.035367
0.641387,-0.01421,-0.000402,-0.068559
0.661336,-0.022482,0.046604,-0.01729
0.681285,0.010993,-0.055016,-0.003399
0.701234,0.007143,-0.069579,-0.029781
0.721183,0.023021,-0.037518,-0.011846
0.741133,-0.075502,0.088855,-0.306751
0.761082,0.00385,-0.045443,-0.090939
0.781031,0.05055,-0.038105,-0.037134
0.80098,0.026739,-0.024818,-0.07519
0.820929,0.04903,-0.031532,0.027188
0.840878,0.05548,-0.077381,0.007261
0.860827,0.058171,0.013321,-0.065974
0.880776,-0.014739,-0.03761,-0.034507
0.900725,-0.012245,-0.0268,-0.038283
0.920674,0.080333,-0.080309,0.016104
0.940623,0.036275,-0.032881,-0.009998
0.960573,-0.005635,-0.013936,-0.038053
0.980522,0.056843,-0.037192,-0.027659
