time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.005603,-0.564396,-0.968762,-3.859444
0.030539,1.384592,0.947667,6.365424
0.045500,-0.415894,-0.450408,-2.714083
0.070435,-0.020535,-0.320578,-0.359660
0.090384,0.201771,0.262120,2.060455
0.105345,-0.100040,0.136300,-0.787764
0.130281,0.087344,-0.067273,-0.103044
0.150229,0.001119,0.057017,0.383123
0.170178,-0.158983,-0.035094,-0.336505
0.190126,-0.034524,-0.077921,-0.107870
0.210075,-0.002950,-0.009865,-0.141838
0.230023,-0.056270,0.035557,-0.007770
0.249972,-0.089582,0.069357,0.186466
0.269920,-0.072256,0.072244,-0.006921
0.289868,-0.037946,0.000933,-0.139978
0.309817,-0.012056,-0.019934,-0.069246
0.329765,0.023658,-0.065825,-0.023065
0.349714,0.069121,-0.086532,0.013131
0.369662,0.111877,-0.082806,-0.038745
0.389611,0.052108,-0.030321,-0.016213
0.409559,0.051363,-0.023096,0.009408
0.429508,0.061486,-0.010012,0.038159
0.449457,0.060228,-0.004848,0.042166
0.469405,0.040244,0.007324,-0.002001
0.489353,0.037112,-0.012263,-0.024261
0.509302,-0.013735,0.004744,-0.039338
0.529250,-0.022467,-0.015714,-0.077364
0.549198,-0.065169,-0.003537,-0.082201
0.569147,-0.105808,0.009898,0.001163
0.589095,-0.060362,0.019970,0.060128
0.609044,-0.008987,-0.012366,0.018363
0.628992,0.014573,-0.002447,-0.066060
0.648941,0.024255,-0.020097,-0.075343
0.668889,-0.007365,-0.021887,-0.064539
0.688839,-0.006139,-0.017027,-0.052115
0.708786,-0.011295,-0.021538,0.008616
0.728735,-0.019983,-0.022692,0.044969
0.748683,0.012283,-0.003484,0.067411
0.768631,0.044170,-0.023122,-0.016392
0.788580,0.055305,-0.021900,-0.103938
0.808528,0.041220,-0.021229,-0.062345
0.828477,0.015904,0.009117,0.012025
0.848425,0.037051,0.000926,-0.006254
0.868374,0.030808,-0.013271,-0.008509
0.888322,-0.012882,0.019628,0.041512
0.908271,-0.000025,0.002616,0.034636
0.928219,-0.009076,-0.022744,-0.051143
0.948168,-0.039958,0.004928,-0.116270
0.968116,-0.046717,-0.008377,-0.076796
0.988064,-0.043893,0.012978,0.008982
1.008013,-0.032715,-0.020927,0.078728
1.027961,0.001613,-0.027965,0.052786
1.047910,-0.040662,-0.037017,-0.061287
1.067858,-0.027596,0.004475,-0.089593
